Category,ItemIcon,Title,Subtitle,Note
gear,🧦,五趾襪,防止水泡關鍵,
gear,🧴,凡士林,塗腳防摩擦,
gear,🥾,登山杖,保護膝蓋必備,
gear,🛌,輕便睡袋,庇護所保暖,
gear,🚿,快乾毛巾,輕量好收納,
gear,🔦,頭燈,早起出發用,
gear,🔌,萬用轉接頭,歐洲規格插頭,
gear,🩹,第一急救包,OK繃與優碘,
gear,📂,夾鏈袋,衣物分類防水,
gear,🩴,輕便拖鞋,洗澡休息用,
gear,👕,快乾衣物,兩套替換即可,
gear,💧,水袋或水壺,隨時補充水分,
gear,👂,耳塞,阻絕庇護所鼾聲,
gear,🧼,肥皂/洗髮乳,全身洗淨輕量化,
gear,👒,遮陽帽,防止中暑,
gear,☀️,防曬乳,高係數防曬,
gear,🌧️,雨衣/背包套,雨天必備,
gear,🔋,行動電源,確保手機有電,
gear,📜,朝聖者護照,領證書必備,
gear,👛,貼身防盜袋,證件錢包不離身,
phrase,🚶,¡Buen Camino!,一路順風！,es-ES
phrase,🏠,¿Dónde está el albergue?,庇護所在哪？,es-ES
phrase,💳,La cuenta por favor,請結帳,es-ES
phrase,🍺,Una cerveza por favor,請給我一杯啤酒,es-ES
phrase,🛌,¿Hay camas libres?,還有空床嗎？,es-ES
phrase,☀️,¡Hola! Buenos días,你好！早安,es-ES
phrase,🙏,Muchas gracias,非常感謝,es-ES
phrase,💊,¿Dónde hay un farmacia?,哪裡有藥局？,es-ES
phrase,🙋,Perdone,不好意思/借過,es-ES
phrase,🥂,¡Salud!,乾杯！,es-ES
tip,📅,避開奔牛節,Pamplona 7月住宿極貴,
tip,⛪,大教堂預約,聖地牙哥彌撒需預約,
tip,🔐,財物不離身,睡覺時放枕頭下,
tip,👟,新鞋磨合,出發前需穿過一個月,
tip,🧴,厚塗凡士林,每天早上出發前必做,
tip,🚌,運包服務,體力不支可寄送行李,
tip,🚰,可飲用水標誌,認明 Fonte 標示,
tip,🥘,朝聖者套餐,午晚餐高 CP 值選擇,
tip,🧤,洋蔥式穿法,清晨溫差極大,
tip,📱,下載路況 App,隨時確認地圖位置,
sign,🟡,黃色箭頭,往前走,
sign,🐚,扇貝標誌,指引前往聖地牙哥,
sign,🚰,Agua Potable,可飲用水,
sign,🚫,Agua No Potable,不可飲用,
sign,🚑,Primeros Auxilios,醫療急救站,
sign,🏘️,Albergue Privado,私立庇護所,
sign,⛪,Albergue Municipal,公立庇護所,
sign,🏬,Supermercado,超市便利店,
sign,🚻,Aseos / WC,公共廁所,
sign,👣,Senda,人行步道專用,
